2026-02-03 13:28:54,205 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:28:54,355 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:29:04,516 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:29:06,758 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:29:07,535 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:29:08,047 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:29:08,315 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:29:30,563 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:29:31,223 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:29:32,316 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
